miRNA JW1Post JW1Pre JW2Post JW2Pre JW3Post JW3Pre JW4Post JW4Pre JW5Post JW5Pre JW6Post JW6Pre JW7Post JW7Pre
hsa-miR-187-3p 0 0 1 0 0 0 0 0 0 0 0 0 0 7
hsa-miR-187-5p 0 0 0 0 0 0 0 11 0 0 0 0 0 0
hsa-miR-18a-3p 42 11 11 10 51 27 15 43 50 5 21 37 45 4
hsa-miR-18a-5p 1 1 1 3 1 1 8 23 14 5 0 15 0 6
hsa-miR-18b-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-18b-5p 0 0 0 0 0 0 8 0 0 0 0 3 0 0
hsa-miR-1908-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-1908-5p 606 95 261 126 331 136 173 352 765 160 234 927 181 310
hsa-miR-1909-5p 0 0 10 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-190b 0 0 0 0 0 0 0 0 0 1 0 0 0 10
hsa-miR-191-3p 34 12 10 16 49 6 45 33 57 20 14 39 96 21
hsa-miR-191-5p 3093 745 1893 2201 2108 1384 2382 2773 3921 1111 1257 4632 1460 1063
hsa-miR-1910-3p 0 0 0 0 0 0 0 0 0 7 0 0 0 0
hsa-miR-1910-5p 0 2 0 5 0 0 13 0 0 0 0 0 29 0
hsa-miR-1914-5p 10 2 3 0 0 21 13 11 34 0 6 19 0 0
hsa-miR-192-5p 822 348 620 4210 3410 2374 3857 3271 5112 1841 693 1869 5802 3532
hsa-miR-193a-3p 0 0 0 0 0 0 0 0 0 0 0 0 1 0
hsa-miR-193a-5p 159 48 107 246 223 143 273 458 546 253 42 187 775 657
hsa-miR-193b-3p 0 0 0 0 0 0 0 0 9 1 0 0 0 0
hsa-miR-193b-5p 48 31 65 107 127 142 161 126 270 156 8 54 914 442
hsa-miR-194-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-194-5p 172 29 79 306 423 310 388 449 576 218 36 181 629 380
hsa-miR-195-3p 13 17 10 31 9 29 0 47 29 16 16 23 77 29
hsa-miR-195-5p 17 0 1 7 0 2 0 3 15 0 0 10 0 0
hsa-miR-196a-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-196a-5p 22 1 0 4 1 14 1 2 1 1 3 6 1 6
hsa-miR-196b-5p 79 21 29 20 24 23 34 14 77 20 13 61 4 5
hsa-miR-197-3p 80 18 65 190 47 36 98 188 245 39 50 158 131 22
hsa-miR-197-5p 0 0 3 0 17 0 0 10 0 5 2 8 14 0
hsa-miR-1976 5 1 1 19 0 0 16 18 32 15 5 16 27 18
hsa-miR-199a-5p 443 144 315 314 255 49 259 278 512 131 184 549 128 89
hsa-miR-199b-3p 793 183 320 365 500 168 428 258 806 270 168 950 260 225
hsa-miR-199b-5p 45 0 13 20 1 55 1 33 20 31 14 28 29 2
hsa-miR-19a-3p 68 20 21 112 117 84 150 122 126 27 29 64 190 109
hsa-miR-19b-3p 21 16 9 54 72 90 69 85 43 9 45 64 86 45
hsa-miR-200a-3p 56 0 9 96 62 74 66 61 71 53 23 50 33 24
hsa-miR-200a-5p 13 0 10 27 0 12 18 11 13 8 2 14 5 6
hsa-miR-200b-3p 143 6 97 49 90 200 160 143 60 165 32 148 30 116
hsa-miR-200b-5p 0 1 1 10 0 0 0 1 10 14 0 1 1 0
hsa-miR-200c-3p 53 1 57 52 44 115 90 200 47 160 19 102 15 46
