miRNA JW1Post JW1Pre JW2Post JW2Pre JW3Post JW3Pre JW4Post JW4Pre JW5Post JW5Pre JW6Post JW6Pre JW7Post JW7Pre
hsa-miR-6793-5p 0 1 5 0 20 0 34 0 11 14 0 9 0 0
hsa-miR-6796-3p 0 0 0 1 0 0 5 0 22 0 0 0 0 0
hsa-miR-6796-5p 0 0 3 0 0 0 8 0 0 0 0 0 0 0
hsa-miR-6797-3p 0 0 0 2 0 0 0 0 0 0 0 0 0 0
hsa-miR-6798-3p 0 0 0 7 10 13 0 0 12 0 0 0 0 0
hsa-miR-6799-3p 0 0 0 0 0 0 0 2 0 0 0 0 0 0
hsa-miR-6799-5p 0 0 0 4 0 0 0 0 0 0 0 3 0 1
hsa-miR-6800-5p 0 0 7 6 0 1 16 0 0 0 0 0 0 38
hsa-miR-6801-3p 0 0 0 0 0 0 0 4 0 0 0 0 0 0
hsa-miR-6802-3p 0 0 1 0 0 0 3 0 0 0 0 0 0 0
hsa-miR-6802-5p 4 3 8 4 0 0 25 12 35 0 4 0 18 0
hsa-miR-6803-3p 1 0 5 0 1 0 21 18 30 12 0 6 0 9
hsa-miR-6804-5p 11 0 0 0 5 0 0 0 0 0 0 5 0 0
hsa-miR-6805-3p 0 0 0 0 0 0 0 0 0 0 0 11 0 0
hsa-miR-6805-5p 9 0 0 9 0 0 13 18 11 0 2 15 40 76
hsa-miR-6806-3p 0 4 0 0 0 11 0 0 2 0 0 0 0 0
hsa-miR-6807-5p 0 0 3 3 0 0 26 21 2 6 1 0 0 0
hsa-miR-6808-3p 6 0 4 0 0 0 12 0 0 0 1 0 0 18
hsa-miR-6809-3p 0 0 1 0 0 0 0 0 0 0 2 0 0 0
hsa-miR-6809-5p 0 0 6 4 0 0 7 0 11 0 0 1 0 0
hsa-miR-6810-3p 0 0 0 0 0 0 0 0 0 0 0 1 27 0
hsa-miR-6810-5p 0 0 6 0 0 0 0 0 30 0 4 0 0 0
hsa-miR-6812-3p 8 0 6 6 15 0 15 0 34 0 1 0 14 0
hsa-miR-6813-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6813-5p 0 0 0 10 0 8 0 0 8 0 0 0 0 0
hsa-miR-6815-5p 6 0 4 1 15 0 4 28 5 0 0 0 37 0
hsa-miR-6817-3p 2 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6818-3p 5 0 1 0 0 2 0 0 0 0 9 6 0 0
hsa-miR-6818-5p 0 0 0 0 0 0 0 0 0 0 0 12 1 0
hsa-miR-6819-3p 13 0 4 15 1 0 6 5 27 0 2 6 0 0
hsa-miR-6819-5p 5 0 0 0 0 0 0 0 0 0 1 5 0 0
hsa-miR-6820-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6821-3p 0 0 0 0 0 1 0 0 0 0 0 1 0 0
hsa-miR-6821-5p 6 0 0 0 0 0 21 0 2 0 0 0 4 0
hsa-miR-6823-5p 0 0 0 0 0 0 0 0 0 0 3 0 0 0
hsa-miR-6825-5p 1 0 0 0 0 0 24 0 10 0 0 3 0 0
hsa-miR-6826-3p 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-6826-5p 0 0 0 6 0 0 0 0 1 0 0 0 0 0
hsa-miR-6827-3p 2 0 0 0 1 0 0 0 0 0 0 30 0 0
hsa-miR-6829-5p 1 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6832-5p 0 0 0 0 0 0 0 0 4 0 3 0 0 0
hsa-miR-6833-3p 0 0 0 0 0 4 3 0 0 0 1 8 0 0
hsa-miR-6837-3p 0 0 0 4 14 0 16 0 0 0 0 0 1 0
hsa-miR-6837-5p 0 0 0 0 0 0 0 0 8 0 1 0 0 8
hsa-miR-6840-5p 0 0 1 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6842-3p 348 59 282 174 263 68 271 190 518 137 119 571 301 68
hsa-miR-6842-5p 11 0 13 3 19 4 8 15 21 0 8 17 9 16
hsa-miR-6843-3p 18 13 37 33 59 4 43 35 124 24 31 67 0 14
hsa-miR-6845-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6847-5p 6 0 0 0 25 0 0 0 0 0 0 9 0 0
hsa-miR-6848-5p 0 0 0 0 4 0 0 0 0 0 0 0 0 0
hsa-miR-6850-5p 1 0 0 1 0 0 35 6 1 0 0 0 0 0
hsa-miR-6851-5p 0 0 0 0 0 0 0 9 0 0 0 0 0 0
hsa-miR-6852-3p 41 6 24 35 63 6 85 30 22 3 15 75 41 28
hsa-miR-6852-5p 12 17 34 18 25 0 25 30 27 4 13 48 17 0
hsa-miR-6853-3p 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-miR-6854-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6855-3p 0 0 9 0 0 1 0 9 24 4 1 10 23 12
hsa-miR-6855-5p 1 0 3 2 7 0 7 1 47 0 6 3 24 0
hsa-miR-6857-3p 16 0 0 0 0 0 36 4 10 5 2 0 0 0
hsa-miR-6857-5p 0 0 0 0 0 0 0 0 1 0 0 0 0 0
hsa-miR-6858-3p 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-6858-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 7
hsa-miR-6859-5p 3 0 0 14 6 0 0 24 32 6 4 19 0 0
hsa-miR-6861-3p 0 0 0 0 0 0 0 6 9 0 0 0 0 0
hsa-miR-6861-5p 0 0 0 0 0 0 0 8 8 0 0 0 0 0
hsa-miR-6862-5p 0 0 1 0 11 0 29 58 0 1 2 6 30 7
hsa-miR-6866-3p 0 0 0 0 0 0 0 0 0 0 0 7 0 0
hsa-miR-6866-5p 0 3 0 6 17 1 7 0 20 12 2 1 0 20
hsa-miR-6867-3p 0 6 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6868-3p 0 0 0 6 8 25 10 0 0 0 7 4 9 5
hsa-miR-6869-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6873-3p 10 0 26 0 12 0 0 0 0 0 1 9 0 0
hsa-miR-6875-3p 0 0 0 0 0 0 0 0 0 0 0 8 0 0
hsa-miR-6875-5p 1 1 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-6876-5p 0 0 0 0 0 0 0 0 0 0 0 7 0 0
hsa-miR-6877-5p 3 0 0 0 0 0 0 0 28 0 11 0 0 0
hsa-miR-6880-3p 6 0 1 0 0 0 0 0 5 0 1 18 13 0
hsa-miR-6881-3p 3 0 0 0 0 0 0 0 9 0 0 1 0 0
hsa-miR-6882-3p 0 0 0 0 0 0 20 0 0 0 0 0 30 0
hsa-miR-6882-5p 0 0 2 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6883-3p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-6884-3p 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-6884-5p 0 0 0 2 19 11 0 0 7 0 2 9 0 4
hsa-miR-6885-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6886-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6889-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6891-5p 0 0 0 0 0 6 0 0 0 0 0 0 0 0
hsa-miR-6892-5p 0 1 0 5 0 0 0 0 0 2 1 0 0 0
hsa-miR-6894-3p 3 0 10 5 2 12 12 0 17 12 3 6 15 6
hsa-miR-6894-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-6895-5p 0 0 0 0 0 0 0 0 11 0 0 0 0 0
hsa-miR-7-1-3p 0 0 5 0 0 0 1 0 2 0 1 0 0 0
hsa-miR-7-5p 1739 578 1085 763 974 896 1697 1496 1564 575 769 1652 1424 1518
hsa-miR-708-3p 8 0 5 14 5 18 8 18 45 40 1 7 0 0
hsa-miR-708-5p 0 0 1 1 0 1 2 0 0 0 3 2 0 2
hsa-miR-7108-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 12
hsa-miR-7109-3p 0 0 0 0 0 0 0 0 0 5 0 0 0 0
hsa-miR-7110-3p 9 4 7 19 33 5 37 7 31 2 14 89 0 0
hsa-miR-7110-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-7111-3p 0 0 0 0 0 0 0 0 0 0 4 0 0 0
hsa-miR-7113-3p 0 0 0 0 0 0 0 0 8 0 0 0 0 0
hsa-miR-7113-5p 31 0 8 0 7 2 0 0 0 5 7 14 13 0
hsa-miR-7114-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-7114-5p 0 0 0 0 9 0 0 0 0 0 0 0 0 20
hsa-miR-7151-5p 0 8 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-7155-3p 0 0 0 0 14 0 0 0 0 0 1 0 0 0
hsa-miR-744-3p 0 2 0 0 0 4 0 0 11 0 1 0 0 0
hsa-miR-744-5p 3819 753 4246 3575 3083 921 3501 2757 9073 1285 1757 8154 1433 1254
hsa-miR-758-3p 12 0 8 0 0 0 0 17 6 4 0 5 0 19
hsa-miR-760 156 16 180 142 152 19 121 181 477 94 83 203 76 137
hsa-miR-766-3p 6 0 2 9 16 0 0 22 19 0 1 11 1 17
hsa-miR-766-5p 75 27 50 48 41 25 45 30 91 2 21 94 15 0
hsa-miR-769-5p 32 11 13 18 15 10 11 41 16 33 39 53 13 5
hsa-miR-7702 0 0 0 0 0 0 0 0 5 0 1 0 0 0
hsa-miR-7705 0 0 0 0 7 0 0 0 0 0 0 0 0 0
hsa-miR-7706 146 19 77 208 215 145 327 343 399 157 50 157 350 146
hsa-miR-7845-5p 0 0 0 0 0 0 0 0 0 0 2 0 0 0
hsa-miR-7847-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-7848-3p 9 7 12 6 0 0 10 0 13 4 2 24 0 0
hsa-miR-7849-3p 18 0 0 0 0 0 0 0 6 0 6 6 0 0
hsa-miR-7850-5p 0 0 0 0 0 0 0 15 0 0 1 0 0 0
hsa-miR-7851-3p 1 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-7854-3p 21 8 18 15 7 25 32 35 33 2 4 13 15 6
hsa-miR-7855-5p 0 0 0 0 0 0 0 0 0 0 0 3 0 0
hsa-miR-7856-5p 0 0 2 0 3 0 0 0 0 0 0 0 0 0
hsa-miR-7974 4 0 2 0 0 2 2 1 0 3 0 1 1 2
hsa-miR-7976 0 0 1 17 8 25 0 24 25 2 1 16 11 0
hsa-miR-8061 0 0 0 3 0 0 0 0 0 0 0 0 0 0
hsa-miR-8072 0 0 0 0 0 0 0 0 9 0 0 2 0 0
hsa-miR-873-3p 0 0 1 0 6 0 25 7 0 0 0 12 0 0
hsa-miR-873-5p 1 0 0 6 12 1 0 13 7 0 0 0 18 5
hsa-miR-874-3p 9 0 8 1 0 0 0 6 21 6 2 6 40 0
hsa-miR-877-3p 0 3 33 12 4 23 26 25 29 10 1 9 8 31
hsa-miR-877-5p 68 7 58 84 117 73 99 90 211 31 71 156 100 87
hsa-miR-885-3p 0 8 4 18 0 0 0 47 23 16 0 4 79 47
hsa-miR-885-5p 0 7 7 42 44 0 7 32 44 30 4 13 150 1
hsa-miR-887-5p 0 0 0 0 0 0 0 0 0 0 0 0 10 0
hsa-miR-889-3p 50 2 15 20 17 3 34 5 16 2 0 5 0 1
hsa-miR-891a-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-892a 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-9-3p 0 0 1 0 0 1 0 0 0 0 0 10 0 0
hsa-miR-9-5p 48 9 10 3 16 148 30 112 34 127 50 149 92 18
hsa-miR-92a-1-5p 11 2 11 2 2 9 12 34 8 9 3 30 21 0
hsa-miR-92a-2-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-92a-3p 39092 9164 25601 48016 66926 48669 87834 90458 110387 24862 21372 47982 75756 52858
hsa-miR-92b-3p 475 134 433 634 891 616 897 990 1309 362 392 652 1140 646
hsa-miR-92b-5p 166 22 73 118 227 171 222 383 558 92 113 223 547 235
hsa-miR-93-3p 3 1 13 19 38 0 12 0 18 1 0 10 30 0
hsa-miR-93-5p 261 124 144 280 329 343 508 477 583 98 126 280 219 348
hsa-miR-933 0 0 0 0 6 0 0 0 13 0 1 0 0 0
hsa-miR-934 0 0 0 0 0 0 0 1 0 1 0 4 0 0
hsa-miR-935 0 0 0 0 1 1 0 0 0 0 0 0 0 0
hsa-miR-937-3p 42 0 6 3 0 0 32 15 15 0 8 14 0 2
hsa-miR-939-5p 48 18 25 32 35 65 51 89 76 22 24 28 45 38
hsa-miR-940 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-941 345 86 126 274 430 322 347 257 1371 327 98 465 244 105
hsa-miR-942-3p 1 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-942-5p 77 32 31 38 57 59 103 95 133 39 18 71 51 125
hsa-miR-95-3p 1 1 7 6 8 17 0 9 31 1 3 0 14 66
hsa-miR-96-5p 5 1 1 0 2 30 26 1 1 7 5 9 6 4
hsa-miR-98-3p 0 0 0 0 0 6 0 0 0 0 7 0 0 10
hsa-miR-98-5p 1680 470 845 598 1355 437 1244 938 1298 569 348 2415 590 420
hsa-miR-99a-5p 7529 1648 3972 11025 8575 7004 12662 12746 17940 7543 1616 7250 25348 14401
hsa-miR-99b-3p 135 28 40 36 90 40 59 21 88 35 17 62 88 86
hsa-miR-99b-5p 2323 380 1083 1224 1607 1662 1738 2036 2851 1197 390 2224 2416 1688
hsa-mir-106a 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-mir-1255a 0 0 0 0 0 0 0 0 0 0 0 0 4 0
hsa-mir-146b 0 0 0 0 0 0 0 1 0 0 0 1 0 1
hsa-mir-151b 35 4 6 32 17 4 20 11 51 5 3 88 15 0
hsa-mir-215 0 0 0 0 0 0 0 0 0 0 0 0 1 0
hsa-mir-27a 2 0 0 0 2 0 2 0 0 0 0 0 5 1
hsa-mir-27b 0 0 0 0 2 2 0 0 0 0 0 0 3 1
hsa-mir-30a 0 0 0 0 0 0 0 0 2 0 0 0 0 0
hsa-mir-30c-1 0 0 0 0 2 0 0 0 0 1 0 0 1 0
hsa-mir-30c-2 0 0 0 0 2 0 0 0 0 15 0 0 2 0
hsa-mir-320a 10 3 3 3 9 7 22 6 43 1 6 2 25 8
hsa-mir-320b-1 10 2 4 6 9 12 24 6 47 1 4 3 10 22
hsa-mir-320b-2 11 3 3 4 9 6 27 6 34 1 6 2 22 14
hsa-mir-374c 0 0 0 0 0 0 0 0 1 0 0 0 0 0
hsa-mir-378a 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-mir-378c 23 2 6 9 17 11 6 72 29 31 6 33 24 21
hsa-mir-378d-2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-mir-451b 0 0 0 1 1 3 0 1 0 0 0 0 0 0
hsa-mir-500a 0 0 0 0 0 0 0 2 0 0 0 0 0 0
hsa-mir-516b-2 0 0 0 0 0 19 0 2 13 3 0 1 0 0
hsa-mir-519a-2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-mir-520b 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-mir-520c 0 0 0 0 0 0 0 1 0 0 0 0 0 0
hsa-mir-548f-1 0 0 0 0 0 0 0 0 0 0 0 0 3 0
hsa-mir-548f-2 0 0 0 0 0 0 0 1 0 0 0 0 3 0
hsa-mir-548f-3 0 0 0 0 0 0 0 0 0 0 0 0 3 0
hsa-mir-548f-4 0 0 0 0 0 0 0 0 0 0 0 0 3 0
hsa-mir-642b 0 0 0 0 0 0 0 0 0 0 0 0 0 6
